,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,annual_salary,economic_impact
0,41,Yes,Travel_Rarely,1102,Sales,1,Associate Degree,Life Sciences,1,Medium,Female,94,High,Intermediate,Sales Executive,Very High,Single,5993,19479,8,Yes,11,Satisfactory,Low,0,8,0,Low,6,4,0,5,71916,14670.864
1,49,No,Travel_Frequently,279,Research & Development,8,High School,Life Sciences,2,High,Male,61,Medium,Intermediate,Research Scientist,Medium,Married,5130,24907,1,No,23,Exceptional,Very High,1,10,3,High,10,7,1,7,61560,12558.24
2,37,Yes,Travel_Rarely,1373,Research & Development,2,Associate Degree,Other,4,Very High,Male,92,Medium,Entry-level,Laboratory Technician,High,Single,2090,2396,6,Yes,15,Satisfactory,Medium,0,7,3,High,0,0,0,0,25080,4037.88
3,33,No,Travel_Frequently,1392,Research & Development,3,Master’s Degree,Life Sciences,5,Very High,Female,56,High,Entry-level,Research Scientist,High,Married,2909,23159,1,Yes,11,Satisfactory,High,0,8,3,High,8,7,3,0,34908,6876.876
4,27,No,Travel_Rarely,591,Research & Development,2,High School,Medical,7,Low,Male,40,High,Entry-level,Laboratory Technician,Medium,Married,3468,16632,9,No,12,Satisfactory,Very High,1,6,3,High,2,2,2,2,41616,8198.352
5,32,No,Travel_Frequently,1005,Research & Development,2,Associate Degree,Life Sciences,8,Very High,Male,79,High,Entry-level,Laboratory Technician,Very High,Single,3068,11864,0,No,13,Satisfactory,High,0,8,2,Medium,7,7,3,6,36816,7252.752
6,59,No,Travel_Rarely,1324,Research & Development,3,Bachelor’s Degree,Medical,10,High,Female,81,Very High,Entry-level,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Exceptional,Low,3,12,3,Medium,1,0,0,0,32040,6311.88
7,30,No,Travel_Rarely,1358,Research & Development,24,High School,Life Sciences,11,Very High,Male,67,High,Entry-level,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Exceptional,Medium,1,1,2,High,1,0,0,0,32316,6366.252
8,38,No,Travel_Frequently,216,Research & Development,23,Bachelor’s Degree,Life Sciences,12,Very High,Male,44,Medium,Supervisory,Manufacturing Director,High,Single,9526,8787,0,No,21,Exceptional,Medium,0,10,2,High,9,7,1,8,114312,24005.52
9,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor’s Degree,Medical,13,High,Male,94,High,Intermediate,Healthcare Representative,High,Married,5237,16577,6,No,13,Satisfactory,Medium,2,17,3,Medium,7,7,7,7,62844,12820.176
10,35,No,Travel_Rarely,809,Research & Development,16,Bachelor’s Degree,Medical,14,Low,Male,84,Very High,Entry-level,Laboratory Technician,Medium,Married,2426,16479,0,No,13,Satisfactory,High,1,6,5,High,5,4,0,3,29112,4687.032
11,29,No,Travel_Rarely,153,Research & Development,15,Associate Degree,Life Sciences,15,Very High,Female,49,Medium,Intermediate,Laboratory Technician,High,Single,4193,12682,0,Yes,12,Satisfactory,Very High,0,10,3,High,9,5,0,8,50316,10264.464
12,31,No,Travel_Rarely,670,Research & Development,26,High School,Life Sciences,16,Low,Male,31,High,Entry-level,Research Scientist,High,Divorced,2911,15170,1,No,17,Satisfactory,Very High,1,5,1,Medium,5,2,4,3,34932,6881.604
13,34,No,Travel_Rarely,1346,Research & Development,19,Associate Degree,Medical,18,Medium,Male,93,High,Entry-level,Laboratory Technician,Very High,Divorced,2661,8758,0,No,11,Satisfactory,High,1,3,2,High,2,2,1,2,31932,6290.604
14,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor’s Degree,Life Sciences,19,High,Male,50,Medium,Entry-level,Laboratory Technician,High,Single,2028,12947,5,Yes,14,Satisfactory,Medium,0,6,4,High,4,2,0,3,24336,3918.096
15,29,No,Travel_Rarely,1389,Research & Development,21,Master’s Degree,Life Sciences,20,Medium,Female,51,Very High,Supervisory,Manufacturing Director,Low,Divorced,9980,10195,1,No,11,Satisfactory,High,1,10,1,High,10,9,8,8,119760,25149.6
16,32,No,Travel_Rarely,334,Research & Development,5,Associate Degree,Life Sciences,21,Low,Male,80,Very High,Entry-level,Research Scientist,Medium,Divorced,3298,15053,0,Yes,12,Satisfactory,Very High,2,7,5,Medium,6,2,0,5,39576,7796.472000000001
17,22,No,Non-Travel,1123,Research & Development,16,Associate Degree,Medical,22,Very High,Male,96,Very High,Entry-level,Laboratory Technician,Very High,Divorced,2935,7324,1,Yes,13,Satisfactory,Medium,2,1,2,Medium,1,0,0,0,35220,6938.34
18,53,No,Travel_Rarely,1219,Sales,2,Master’s Degree,Life Sciences,23,Low,Female,78,Medium,Managerial,Manager,Very High,Married,15427,22021,2,No,16,Satisfactory,High,0,31,3,High,25,8,3,7,185124,38876.04
19,38,No,Travel_Rarely,371,Research & Development,2,Bachelor’s Degree,Life Sciences,24,Very High,Male,45,High,Entry-level,Research Scientist,Very High,Single,3944,4306,5,Yes,11,Satisfactory,High,0,6,3,High,3,2,1,2,47328,9323.616
